job_title,company,location,source,scraped_at,type,salary,job_url,posted,description_preview
"Programmer, multimedia","Lewis, Gonzalez and Vasquez","Port Cory, AE",static,2025-12-26 19:42:59,,,,,
"Engineer, broadcasting (operations)",Taylor PLC,"Gileston, AA",static,2025-12-26 19:42:59,,,,,
"Teacher, primary school","Oliver, Jones and Ramirez","Cindyshire, AA",static,2025-12-26 19:42:59,,,,,
Python Developer,Rivera and Sons,"East Michaelfort, AA",static,2025-12-26 19:42:59,,,,,
Manufacturing systems engineer,Garcia PLC,"Joybury, AE",static,2025-12-26 19:42:59,,,,,
"Producer, television/film/video","Johnson, Wells and Kramer","Emmatown, AE",static,2025-12-26 19:42:59,,,,,
"Scientist, forensic",Gonzalez LLC,"Colehaven, AP",static,2025-12-26 19:42:59,,,,,
Bonds trader,"Morgan, White and Macdonald","Port Coryton, AE",static,2025-12-26 19:42:59,,,,,
Editorial assistant,Robinson-Fitzpatrick,"Amyborough, AA",static,2025-12-26 19:42:59,,,,,
Photographer,"Waters, Wilson and Hoover","Reynoldsville, AA",static,2025-12-26 19:42:59,,,,,
Retail banker,Hill LLC,"Port Billy, AP",static,2025-12-26 19:42:59,,,,,
Jewellery designer,Li-Gregory,"Adamburgh, AA",static,2025-12-26 19:42:59,,,,,
Ophthalmologist,"Fisher, Ryan and Coleman","Wilsonmouth, AA",static,2025-12-26 19:42:59,,,,,
"Back-End Web Developer (Python, Django)",Stewart-Alexander,"South Kimberly, AA",static,2025-12-26 19:42:59,,,,,
Licensed conveyancer,Abbott and Sons,"Benjaminland, AP",static,2025-12-26 19:42:59,,,,,
Futures trader,"Bryant, Santana and Davenport","Zacharyport, AA",static,2025-12-26 19:42:59,,,,,
Counselling psychologist,Smith PLC,"Port Devonville, AE",static,2025-12-26 19:42:59,,,,,
Insurance underwriter,Patterson-Singh,"East Thomas, AE",static,2025-12-26 19:42:59,,,,,
"Engineer, automotive",Martinez-Berry,"New Jeffrey, AP",static,2025-12-26 19:42:59,,,,,
"Producer, radio","May, Taylor and Fisher","Davidside, AA",static,2025-12-26 19:42:59,,,,,
Dispensing optician,"Bailey, Owen and Thompson","Jamesville, AA",static,2025-12-26 19:42:59,,,,,
"Designer, fashion/clothing",Vasquez Ltd,"New Kelly, AP",static,2025-12-26 19:42:59,,,,,
Chartered loss adjuster,Leblanc LLC,"Lake Antonio, AA",static,2025-12-26 19:42:59,,,,,
"Back-End Web Developer (Python, Django)","Jackson, Ali and Mckee","New Elizabethside, AA",static,2025-12-26 19:42:59,,,,,
Forest/woodland manager,"Blankenship, Knight and Powell","Millsbury, AE",static,2025-12-26 19:42:59,,,,,
Clinical cytogeneticist,"Patton, Haynes and Jones","Lloydton, AP",static,2025-12-26 19:42:59,,,,,
Print production planner,Wood Inc,"Port Jeremy, AA",static,2025-12-26 19:42:59,,,,,
Systems developer,Collins Group,"New Elizabethtown, AA",static,2025-12-26 19:42:59,,,,,
Graphic designer,Flores-Nelson,"Charlesstad, AE",static,2025-12-26 19:42:59,,,,,
Writer,"Mitchell, Jones and Olson","Josephbury, AE",static,2025-12-26 19:42:59,,,,,
Field seismologist,Howard Group,"Seanfurt, AA",static,2025-12-26 19:42:59,,,,,
Chief Strategy Officer,Kramer-Edwards,"Williambury, AA",static,2025-12-26 19:42:59,,,,,
Air cabin crew,Berry-Houston,"South Jorgeside, AP",static,2025-12-26 19:42:59,,,,,
Python Programmer (Entry-Level),Mathews Inc,"Robertborough, AP",static,2025-12-26 19:42:59,,,,,
Warden/ranger,Riley-Johnson,"South Saratown, AP",static,2025-12-26 19:42:59,,,,,
Sports therapist,Spencer and Sons,"Hullview, AA",static,2025-12-26 19:42:59,,,,,
Arts development officer,Camacho-Sanchez,"Philipland, AP",static,2025-12-26 19:42:59,,,,,
Printmaker,Oliver and Sons,"North Patty, AE",static,2025-12-26 19:42:59,,,,,
Health and safety adviser,Eaton PLC,"North Stephen, AE",static,2025-12-26 19:42:59,,,,,
Manufacturing systems engineer,Stanley-Frederick,"Stevensland, AP",static,2025-12-26 19:42:59,,,,,
"Programmer, applications",Bradley LLC,"Reyesstad, AE",static,2025-12-26 19:42:59,,,,,
Medical physicist,"Parker, Goodwin and Zavala","Bellberg, AP",static,2025-12-26 19:42:59,,,,,
Media planner,Kim-Miles,"North Johnland, AE",static,2025-12-26 19:42:59,,,,,
Software Developer (Python),Moreno-Rodriguez,"Martinezburgh, AE",static,2025-12-26 19:42:59,,,,,
"Surveyor, land/geomatics",Brown-Ortiz,"Joshuatown, AE",static,2025-12-26 19:42:59,,,,,
Legal executive,Hartman PLC,"West Ericstad, AA",static,2025-12-26 19:42:59,,,,,
"Librarian, academic",Brooks Inc,"Tuckertown, AE",static,2025-12-26 19:42:59,,,,,
Barrister,Washington-Castillo,"Perezton, AE",static,2025-12-26 19:42:59,,,,,
Museum/gallery exhibitions officer,"Nguyen, Yoder and Petty","Lake Abigail, AE",static,2025-12-26 19:42:59,,,,,
"Radiographer, diagnostic",Holder LLC,"Jacobshire, AP",static,2025-12-26 19:42:59,,,,,
Database administrator,Yates-Ferguson,"Port Susan, AE",static,2025-12-26 19:42:59,,,,,
Furniture designer,Ortega-Lawrence,"North Tiffany, AA",static,2025-12-26 19:42:59,,,,,
Ship broker,"Fuentes, Walls and Castro","Michelleville, AP",static,2025-12-26 19:42:59,,,,,
"Senior Medical Writer (Abstracts, Manuscripts)",5264 Syneos Health India Private Limited,India,api,2025-12-26 19:42:59,Full Time,,https://himalayas.app/companies/5264-syneos-health-india-private-limited/jobs/senior-medical-writer-abstracts-manuscripts,1766735995.0,"Senior Medical Writer (Abstracts, Manuscripts)Syneos Health® is a leading fully integrated biopharmaceutical solutions organization built to accelerate customer success...."
Cloud Infrastructure Engineer,Clover Health,United States,api,2025-12-26 19:42:59,Full Time,146000 - 178000 USD,https://himalayas.app/companies/clover-health/jobs/cloud-infrastructure-engineer,1766735931.0,We value diversity — in backgrounds and in experiences....
"Studente Lavoratore, Integrazione Tecnica Marketplace (m/f/d)",Redcare Pharmacy,Italy,api,2025-12-26 19:42:59,Part Time,43800 - 46720 EUR,https://himalayas.app/companies/redcare-pharmacy/jobs/studente-lavoratore-integrazione-tecnica-marketplace-m-f-d,1766735887.0,Riguardo ai tuoi compiti:• Supporterai il team italiano nella gestione delle attività giornaliere • Gestirai le richieste dei nostri Seller tramite il sistema di ticketing • Parteciperai all’onboardin...
Senior Data Scientist (Supply Chain),Tiger Analytics,Canada,api,2025-12-26 19:42:59,Full Time,,https://himalayas.app/companies/tiger-analytics/jobs/senior-data-scientist-supply-chain,1766735770.0,Tiger Analytics is looking for experienced Data Scientists to join our fast-growing advanced analytics consulting firm....
Personal Assistant - Current & Previous PA experience mandatory,Jobs for Humanity,United Arab Emirates,api,2025-12-26 19:42:59,Part Time,,https://himalayas.app/companies/jobsforlebanon/jobs/personal-assistant-current-previous-pa-experience-mandatory-6209443774,1766735698.0,"• Respond to emails and phone calls • Schedule meetings and appointments • Book travel and accommodations • Manage a process (visa applications, driver's license, applications) • organize trips (trave..."
Sales Development Representative (Logistics),Wing Assistant,Philippines,api,2025-12-26 19:42:59,Full Time,47000 - 50000 PHP,https://himalayas.app/companies/wing-assistant/jobs/sales-development-representative-logistics,1766735694.0,"Please whitelist the domains ""lever. co"" and ""hire...."
Sales Manager Dental,medmix,China,api,2025-12-26 19:42:59,Full Time,,https://himalayas.app/companies/medmix/jobs/sales-manager-dental-8935632163,1766735629.0,"This position is responsible for the achieving sales, business development, leading and managing the area sales activities/ OPL lecture-collaboration of Dental in China...."
"Assoc. Director, Business Development - West Coast",Lonza,United States,api,2025-12-26 19:42:59,Full Time,191700 - 223000 USD,https://himalayas.app/companies/lonza/jobs/assoc-director-business-development-west-coast,1766735607.0,"Associate Director, Biologics Business Development – West Coast Location: This is a remote role; ideally candidates will be based on the West Coast and available to travel frequently to the San Franci..."
Software Delivery Manager,BlackStone eIT,Egypt,api,2025-12-26 19:42:59,Full Time,,https://himalayas.app/companies/blackstone-eit/jobs/software-delivery-manager,1766735585.0,Role OverviewThe Software Delivery Manager will lead and oversee delivery of enterprise-level software products built using ....
Head of Customer Success,Push Security,United States,api,2025-12-26 19:42:59,Full Time,200000 - 220000 USD,https://himalayas.app/companies/push-security/jobs/head-of-customer-success,1766735545.0,"About Push SecurityAt Push Security, we’re on a mission to defend organizations where work and attacks actually happen: in the browser...."
"Associate Consultant, Legal Technology Managed Services",Harbor,United Kingdom,api,2025-12-26 19:42:59,Full Time,,https://himalayas.app/companies/harbor/jobs/associate-consultant-legal-technology-managed-services,1766735529.0,Harbor is seeking a Associate Consultant to join our 3E Managed Services team within our Legal Technology and Operations (LT+O) practice group....
Directeur Contrôle Interne,Chubb Fire & Security,"Australia, France",api,2025-12-26 19:42:59,Full Time,,https://himalayas.app/companies/chubb-fire-security/jobs/directeur-controle-interne-1270525429,1766735525.0,"Au sein de la Direction Financière et reportant au Directeur Administratif et Financier Chubb F&S France, vos missions sont les suivantes : Management • Animer et piloter l’équipe composée de 3 contrô..."
New Business Development Manager,Grantek Systems Integration,United States,api,2025-12-26 19:42:59,Full Time,100000 - 140000 USD,https://himalayas.app/companies/grantek/jobs/new-business-development-manager-2615020796,1766735506.0,We are looking for an energetic and self-driven Manager of New Business Development to join our team....
Remote Executive Assistant - Operations & Communication Focus (LATAM),FreedUp,Mexico,api,2025-12-26 19:42:59,Full Time,9600 - 19200 USD,https://himalayas.app/companies/freedup/jobs/remote-executive-assistant-operations-communication-focus-latam,1766735488.0,"FreedUp is seeking a highly proactive and detail-oriented Executive Assistant (EA) to support the Founder & CEO of a fast-growing, systems-driven organization...."
Weekend Backend Engineer,Sporty Group,"Argentina, Brazil, Portugal, Spain",api,2025-12-26 19:42:59,Full Time,,https://himalayas.app/companies/sporty-group/jobs/weekend-backend-engineer,1766735480.0,"About the roleIn this role, you’ll be responsible for developing microservices in a distributed deployment environment with an emphasis on containerisation with Docker and K8S...."
APPRENTISSAGE - Pricing Analyst – F/H  Chubb Fire & Security France - Comptes Na,Chubb Fire & Security,France,api,2025-12-26 19:42:59,Intern,,https://himalayas.app/companies/chubb-fire-security/jobs/apprentissage-pricing-analyst-f-h-chubb-fire-security-france-comptes-na-5351378622,1766735414.0,Le recrutement et la bonne intégration des collaboratrices et des collaborateurs en situation de handicap constitue un axe important de notre politique Ressources Humaines....
Senior Sales Manager,Jobs for Humanity,Lebanon,api,2025-12-26 19:42:59,Full Time,12260000 - 16350000 USD,https://himalayas.app/companies/jobsforlebanon/jobs/senior-sales-manager-2301277098,1766735408.0,We are seeking an experienced and motivated Senior Sales Manager to join our dynamic team....
"Digital Project Manager, oneRTX",RTX,United States,api,2025-12-26 19:42:59,Full Time,101000 - 203000 USD,https://himalayas.app/companies/rtx/jobs/digital-project-manager-onertx,1766735408.0,"Date Posted:2025-12-24Country:United States of AmericaLocation:UTIA1: Iowa - Corp Remote 123 Iowa Corporate Remote Location , Des Moines, IA, 50047 USAPosition Role Type:RemoteU...."
Senior Client Executive,Sparq,United States,api,2025-12-26 19:42:59,Full Time,,https://himalayas.app/companies/sparq/jobs/senior-client-executive-9722781440,1766735337.0,"At Sparq, we help companies solve the right problems—not just build more technology...."
Senior Product Manager,Everbridge,United States,api,2025-12-26 19:42:59,Full Time,105000 - 141000 USD,https://himalayas.app/companies/everbridge/jobs/senior-product-manager,1766735303.0,"As a Senior Product Manager, you will play a pivotal role in shaping the vision, strategy, and roadmap for the products that drive our Public Sector portfolio for State and Local...."
